Token,Date,Open,High,Low,Close,Volume,Market Cap
Aidcoin,5/30/2020,0.01182,0.011821,0.010635,0.010861,839.41,"497,434"
Aidcoin,5/29/2020,0.010944,0.011842,0.010633,0.011821,93.04,"541,374"
Aidcoin,5/28/2020,0.010977,0.012631,0.010755,0.010952,"1,466.87","501,603"
Aidcoin,5/27/2020,0.00951,0.01143,0.008912,0.010978,824.2,"502,798"
Aidcoin,5/26/2020,0.010037,0.010146,0.009424,0.00951,203.76,"434,108"
Aidcoin,5/25/2020,0.009212,0.010374,0.008954,0.01004,47.31,"458,283"
Aidcoin,5/24/2020,0.009312,0.009886,0.008636,0.009212,"1,695.84","420,519"
Aidcoin,5/23/2020,0.009204,0.011564,0.009156,0.009506,"1,237.88","433,939"
Aidcoin,5/22/2020,0.008541,0.009235,0.00847,0.009203,22.07,"420,115"
Aidcoin,5/21/2020,0.009273,0.009696,0.008332,0.008542,566.87,"389,932"
Aidcoin,5/20/2020,0.010368,0.010649,0.009272,0.009273,243.45,"423,291"
Aidcoin,5/19/2020,0.010045,0.010366,0.009826,0.010366,74.55,"473,168"
Aidcoin,5/18/2020,0.011378,0.011405,0.010009,0.010032,"2,256.52","457,955"
Aidcoin,5/17/2020,0.009111,0.011522,0.009111,0.011375,323.38,"519,260"
Aidcoin,5/16/2020,0.010275,0.010296,0.0077,0.009111,"2,971.20","415,909"
Aidcoin,5/15/2020,0.009612,0.010311,0.009352,0.010274,432.2,"468,987"
Aidcoin,5/14/2020,0.009062,0.010003,0.00902,0.009615,312.06,"438,889"
Aidcoin,5/13/2020,0.009865,0.009878,0.008963,0.009072,244.47,"414,104"
Aidcoin,5/12/2020,0.009937,0.01,0.009863,0.009865,348.14,"450,325"
Aidcoin,5/11/2020,0.008837,0.009949,0.008796,0.009937,322.89,"453,600"
Aidcoin,5/10/2020,0.009033,0.009034,0.008504,0.008836,61.12,"403,323"
Aidcoin,5/9/2020,0.008171,0.009371,0.007968,0.009034,874.31,"412,388"
Aidcoin,5/8/2020,0.008979,0.009031,0.008171,0.008171,160.5,"372,996"
Aidcoin,5/7/2020,0.008649,0.009017,0.008491,0.00898,310.18,"409,927"
Aidcoin,5/6/2020,0.008407,0.009576,0.008399,0.008649,686.89,"394,808"
Aidcoin,5/5/2020,0.008895,0.009093,0.007823,0.008412,260.62,"384,002"
Aidcoin,5/4/2020,0.008961,0.009322,0.008664,0.008895,235.91,"406,045"
Aidcoin,5/3/2020,0.008388,0.009921,0.008337,0.00896,915.92,"408,993"
Aidcoin,5/2/2020,0.008369,0.008434,0.008085,0.008376,249.09,"382,353"
Aidcoin,5/1/2020,0.008357,0.008485,0.008282,0.008369,215.81,"382,017"
Aidcoin,4/30/2020,0.00886,0.009327,0.008298,0.008357,247.66,"381,456"
Aidcoin,4/29/2020,0.00726,0.008949,0.007237,0.008865,499.12,"404,644"
Aidcoin,4/28/2020,0.007795,0.007906,0.007255,0.007261,240.16,"331,426"
Aidcoin,4/27/2020,0.007398,0.008161,0.007396,0.007794,299.55,"355,781"
Aidcoin,4/26/2020,0.007867,0.007947,0.007382,0.007396,90.4,"337,603"
Aidcoin,4/25/2020,0.00787,0.008002,0.007264,0.007866,24.24,"359,062"
Aidcoin,4/24/2020,0.007471,0.008245,0.007423,0.007871,129.88,"359,302"
Aidcoin,4/23/2020,0.007488,0.007663,0.00745,0.007473,631.79,"341,106"
Aidcoin,4/22/2020,0.00726,0.007491,0.007255,0.007487,732.93,"341,784"
Aidcoin,4/21/2020,0.007324,0.007356,0.007259,0.00726,212.53,"331,385"
Aidcoin,4/20/2020,0.007355,0.007378,0.007316,0.007324,152.05,"334,316"
Aidcoin,4/19/2020,0.007863,0.007969,0.00735,0.007355,171.14,"335,743"
Aidcoin,4/18/2020,0.007351,0.008072,0.00725,0.007862,152.96,"358,896"
Aidcoin,4/17/2020,0.007817,0.008259,0.007347,0.007351,41.18,"335,534"
Aidcoin,4/16/2020,0.0072,0.007852,0.0072,0.007815,353.74,"356,728"
Aidcoin,4/15/2020,0.00798,0.0085,0.0072,0.0072,210.97,"328,676"
Aidcoin,4/14/2020,0.007777,0.008016,0.007763,0.007984,16.63,"364,441"
Aidcoin,4/13/2020,0.009499,0.009499,0.007679,0.007778,656.19,"355,036"
Aidcoin,4/12/2020,0.009966,0.009968,0.007515,0.009499,"16,159.14","433,606"
Aidcoin,4/11/2020,0.007081,0.010474,0.006999,0.009966,"17,014.15","454,911"
Aidcoin,4/10/2020,0.009362,0.009362,0.007079,0.007081,765.37,"323,239"
Aidcoin,4/9/2020,0.008304,0.009369,0.008243,0.009362,191.21,"427,371"
Aidcoin,4/8/2020,0.007522,0.009449,0.007144,0.008305,91.1,"379,084"
Aidcoin,4/7/2020,0.007504,0.009871,0.007039,0.007522,"13,447.51","343,367"
Aidcoin,4/6/2020,0.006888,0.008535,0.006877,0.007503,"5,164.42","342,482"
Aidcoin,4/5/2020,0.007521,0.008699,0.006854,0.006889,348.41,"314,455"
Aidcoin,4/4/2020,0.007905,0.008931,0.007268,0.007521,"38,541.63","343,305"
Aidcoin,4/3/2020,0.007707,0.009376,0.007703,0.007905,186.91,"360,838"
Aidcoin,4/2/2020,0.008988,0.010528,0.007483,0.007707,"39,807.87","351,794"
Aidcoin,4/1/2020,0.00895,0.009469,0.007278,0.008988,"45,713.94","410,265"
Aidcoin,3/31/2020,0.009677,0.009682,0.006506,0.00895,"17,803.43","408,561"
Aidcoin,3/30/2020,0.005643,0.010783,0.005594,0.009677,"38,180.67","441,727"
Aidcoin,3/29/2020,0.006503,0.009879,0.004839,0.005646,"13,637.98","257,714"
Aidcoin,3/28/2020,0.005245,0.006645,0.004826,0.006503,"14,539.66","296,868"
Aidcoin,3/27/2020,0.006931,0.006932,0.004822,0.005245,"19,414.68","239,417"
Aidcoin,3/26/2020,0.005688,0.006932,0.004597,0.006931,"26,322.46","316,397"
Aidcoin,3/25/2020,0.007068,0.007077,0.005669,0.005688,"1,837.38","259,649"
Aidcoin,3/24/2020,0.009401,0.009714,0.005515,0.007069,"1,186.92","322,663"
Aidcoin,3/23/2020,0.006768,0.009965,0.00476,0.009401,"14,265.52","429,138"
Aidcoin,3/22/2020,0.007822,0.007824,0.004464,0.006768,"6,103.83","308,933"
Aidcoin,3/21/2020,0.005177,0.008274,0.00413,0.007821,"2,622.23","357,031"
Aidcoin,3/20/2020,0.005804,0.006255,0.004834,0.005173,867.08,"236,152"
Aidcoin,3/19/2020,0.003899,0.005913,0.00348,0.005806,79.93,"265,047"
Aidcoin,3/18/2020,0.00428,0.004358,0.003888,0.003899,13.59,"178,002"
Aidcoin,3/17/2020,0.004469,0.004792,0.004048,0.004293,22.62,"195,980"
Aidcoin,3/16/2020,0.005202,0.005202,0.004054,0.004468,293.43,"203,959"
Aidcoin,3/15/2020,0.005179,0.005711,0.00505,0.005203,329.95,"237,496"
Aidcoin,3/14/2020,0.005427,0.005674,0.00511,0.005179,121.19,"236,425"
Aidcoin,3/13/2020,0.004275,0.005472,0.00356,0.005318,275.42,"242,758"
Aidcoin,3/12/2020,0.007929,0.007943,0.004258,0.004277,"1,084.19","195,237"
Aidcoin,3/11/2020,0.007732,0.007948,0.007662,0.007929,212.39,"361,952"
Aidcoin,3/10/2020,0.008267,0.008283,0.007636,0.007732,414.6,"352,933"
Aidcoin,3/9/2020,0.008416,0.008457,0.008124,0.008264,516.73,"377,234"
Aidcoin,3/8/2020,0.009236,0.009238,0.008414,0.008418,544.79,"384,268"
Aidcoin,3/7/2020,0.008882,0.009371,0.008672,0.009235,"1,152.53","421,576"
Aidcoin,3/6/2020,0.009565,0.009632,0.008859,0.00888,"1,029.59","405,353"
Aidcoin,3/5/2020,0.008936,0.009964,0.008936,0.009565,"1,286.98","436,619"
Aidcoin,3/4/2020,0.008358,0.011591,0.007945,0.008935,"124,504","407,855"
Aidcoin,3/3/2020,0.009189,0.00932,0.008252,0.00836,"1,226.81","381,609"
Aidcoin,3/2/2020,0.010415,0.010642,0.008391,0.009189,"13,481.90","419,473"
Aidcoin,3/1/2020,0.009881,0.010439,0.009853,0.010416,94.72,"475,444"
Aidcoin,2/29/2020,0.009923,0.009953,0.009881,0.009881,558.75,"451,034"
Aidcoin,2/28/2020,0.011907,0.011974,0.009899,0.009923,560.82,"452,960"
Aidcoin,2/27/2020,0.011459,0.011993,0.011261,0.011901,45.83,"543,238"
Aidcoin,2/26/2020,0.012971,0.012971,0.011202,0.011441,54.91,"522,257"
Aidcoin,2/25/2020,0.011027,0.012976,0.010361,0.012972,373.06,"592,130"
Aidcoin,2/24/2020,0.011131,0.011401,0.010671,0.011024,124.56,"503,212"
Aidcoin,2/23/2020,0.01107,0.012133,0.010772,0.01113,742.15,"508,075"
Aidcoin,2/22/2020,0.01113,0.011149,0.010993,0.01107,28.44,"505,319"
Aidcoin,2/21/2020,0.010221,0.011165,0.01018,0.011124,28.55,"507,778"
Aidcoin,2/20/2020,0.011003,0.01107,0.009909,0.010382,180.68,"473,913"
Aidcoin,2/19/2020,0.011291,0.011294,0.010863,0.011005,263.14,"502,342"
Aidcoin,2/18/2020,0.011396,0.011495,0.010416,0.011049,542.94,"504,383"
Aidcoin,2/17/2020,0.014227,0.014227,0.011049,0.011402,550.11,"520,472"
Aidcoin,2/16/2020,0.013798,0.014228,0.013707,0.014227,801.7,"649,436"
Aidcoin,2/15/2020,0.012052,0.014247,0.011971,0.013816,904.87,"630,676"
Aidcoin,2/14/2020,0.01288,0.014174,0.011905,0.012052,"2,983.37","550,139"
Aidcoin,2/13/2020,0.010378,0.013074,0.010367,0.012879,"1,963.81","587,917"
Aidcoin,2/12/2020,0.011992,0.012248,0.010323,0.010386,326.62,"474,110"
Aidcoin,2/11/2020,0.011428,0.011993,0.011311,0.011993,63.18,"547,432"
Aidcoin,2/10/2020,0.010291,0.011444,0.009714,0.011429,51.07,"521,692"
Aidcoin,2/9/2020,0.011055,0.011479,0.009949,0.01029,"1,010.22","469,716"
Aidcoin,2/8/2020,0.012631,0.012636,0.010677,0.011029,51.21,"503,440"
Aidcoin,2/7/2020,0.010471,0.012632,0.010471,0.012632,301.93,"576,604"
Aidcoin,2/6/2020,0.010992,0.011624,0.010398,0.01069,203.75,"487,986"
Aidcoin,2/5/2020,0.00984,0.011405,0.009832,0.010993,112.38,"501,812"
Aidcoin,2/4/2020,0.009751,0.010075,0.009581,0.009838,44.47,"449,074"
Aidcoin,2/3/2020,0.009904,0.010068,0.00971,0.009746,180.84,"444,878"
Aidcoin,2/2/2020,0.010016,0.010181,0.009842,0.009904,42.69,"452,111"
Aidcoin,2/1/2020,0.01637,0.017127,0.00997,0.01002,266.33,"457,391"
Aidcoin,1/31/2020,0.017528,0.017585,0.016198,0.016372,"8,427.44","747,342"
Aidcoin,1/30/2020,0.016607,0.01767,0.016358,0.017535,"7,653.88","800,441"
Aidcoin,1/29/2020,0.016737,0.016976,0.016617,0.016617,"7,253.67","758,517"
Aidcoin,1/28/2020,0.016229,0.016732,0.016197,0.016732,"7,299.11","763,785"
Aidcoin,1/27/2020,0.015958,0.016411,0.015844,0.016221,"7,065.93","740,450"
Aidcoin,1/26/2020,0.01531,0.015966,0.015214,0.015955,"6,962.97","728,317"
Aidcoin,1/25/2020,0.015485,0.015492,0.015056,0.015312,"6,686.86","698,974"
Aidcoin,1/24/2020,0.015434,0.015606,0.014879,0.015475,"6,757.80","706,397"
Aidcoin,1/23/2020,0.015643,0.015648,0.015181,0.015436,"6,828.64","704,598"
Aidcoin,1/22/2020,0.015748,0.015878,0.015514,0.015644,"7,899.06","714,127"
Aidcoin,1/21/2020,0.014804,0.015767,0.014722,0.015754,"7,967.01","719,125"
Aidcoin,1/20/2020,0.015478,0.015497,0.014725,0.014801,"8,745.23","675,651"
Aidcoin,1/19/2020,0.016236,0.016403,0.01479,0.015472,"7,921.79","706,249"
Aidcoin,1/18/2020,0.010175,0.016745,0.010075,0.016338,"22,452.00","745,790"
Aidcoin,1/17/2020,0.009102,0.010205,0.009095,0.010178,80.65,"464,614"
Aidcoin,1/16/2020,0.009112,0.009116,0.009083,0.009102,252.86,"415,498"
Aidcoin,1/15/2020,0.007898,0.009115,0.007892,0.009112,253.06,"415,919"
Aidcoin,1/14/2020,0.007732,0.007992,0.007703,0.007899,199.42,"360,565"
Aidcoin,1/13/2020,0.010096,0.010107,0.007732,0.007732,375.14,"352,962"
Aidcoin,1/12/2020,0.008601,0.010448,0.008576,0.010088,35.61,"460,489"
Aidcoin,1/11/2020,0.008196,0.009319,0.008114,0.008603,"5,185.78","392,696"
Aidcoin,1/10/2020,0.007414,0.010665,0.006432,0.008213,"8,002.05","374,926"
Aidcoin,1/9/2020,0.00755,0.007559,0.007362,0.007409,93.56,"338,204"
Aidcoin,1/8/2020,0.007588,0.007742,0.00732,0.007559,95.47,"345,069"
Aidcoin,1/7/2020,0.00749,0.007773,0.007474,0.007589,144.22,"346,426"
Aidcoin,1/6/2020,0.007172,0.0075,0.00717,0.00749,86.49,"341,898"
Aidcoin,1/5/2020,0.00716,0.007302,0.007155,0.007168,82.63,"327,195"
Aidcoin,1/4/2020,0.008505,0.008596,0.007093,0.007165,82.61,"327,058"
Aidcoin,1/3/2020,0.008328,0.00857,0.008102,0.008508,72.14,"388,386"
Aidcoin,1/2/2020,0.008494,0.008497,0.008139,0.008327,88.61,"380,105"
Aidcoin,1/1/2020,0.00848,0.008542,0.008315,0.008494,90.49,"387,727"
Aidcoin,12/31/2019,0.008871,0.008872,0.00832,0.00848,90.31,"387,098"
Aidcoin,12/30/2019,0.008281,0.008901,0.008215,0.008871,318.2,"404,932"
Aidcoin,12/29/2019,0.007316,0.008391,0.007305,0.008281,132.67,"378,023"
Aidcoin,12/28/2019,0.007266,0.007386,0.00726,0.007316,29.92,"333,962"
Aidcoin,12/27/2019,0.008575,0.008648,0.007201,0.007266,35.52,"331,696"
Aidcoin,12/26/2019,0.00874,0.008746,0.007903,0.008577,63.76,"391,506"
Aidcoin,12/25/2019,0.009576,0.009719,0.008716,0.00874,47.16,"398,972"
Aidcoin,12/24/2019,0.008723,0.010104,0.008718,0.009578,285.09,"437,191"
Aidcoin,12/23/2019,0.00797,0.008734,0.007175,0.008723,140.36,"398,176"
Aidcoin,12/22/2019,0.007954,0.007971,0.007953,0.007971,281.17,"363,836"
Aidcoin,12/21/2019,0.007957,0.007957,0.007952,0.007954,280.5,"363,071"
Aidcoin,12/20/2019,0.007957,0.007958,0.007952,0.007957,280.63,"363,202"
Aidcoin,12/19/2019,0.007968,0.007971,0.007946,0.007957,280.65,"363,221"
Aidcoin,12/18/2019,0.00793,0.007969,0.007924,0.007968,281.09,"363,707"
Aidcoin,12/17/2019,0.007956,0.007962,0.007928,0.00793,279.46,"361,984"
Aidcoin,12/16/2019,0.008195,0.008211,0.007909,0.007956,296.47,"363,160"
Aidcoin,12/15/2019,0.00799,0.008194,0.00798,0.008194,428.6,"374,044"
Aidcoin,12/14/2019,0.008213,0.008216,0.007988,0.00799,281.97,"364,712"
Aidcoin,12/13/2019,0.008218,0.008223,0.008194,0.008213,363.96,"374,911"
Aidcoin,12/12/2019,0.008101,0.00822,0.008084,0.008219,365.67,"375,176"
Aidcoin,12/11/2019,0.00988,0.009902,0.008098,0.0081,670.53,"369,760"
Aidcoin,12/10/2019,0.009738,0.009913,0.009712,0.009882,331.09,"451,082"
Aidcoin,12/9/2019,0.00901,0.009766,0.008494,0.00974,476.88,"444,586"
Aidcoin,12/8/2019,0.010118,0.010137,0.008987,0.009013,396.76,"411,445"
Aidcoin,12/7/2019,0.01012,0.010135,0.010111,0.010118,151.73,"461,878"
Aidcoin,12/6/2019,0.00892,0.010125,0.008847,0.010119,151.76,"461,927"
Aidcoin,12/5/2019,0.008289,0.008962,0.008271,0.00892,59.4,"407,189"
Aidcoin,12/4/2019,0.007999,0.008996,0.007851,0.008297,202.95,"378,726"
Aidcoin,12/3/2019,0.008824,0.0089,0.007982,0.008008,346.58,"365,561"
Aidcoin,12/2/2019,0.010102,0.010125,0.008769,0.008824,58.73,"402,787"
Aidcoin,12/1/2019,0.00844,0.010127,0.008336,0.010102,125.75,"461,137"
