Name,Token,Sector,Index,Weightage,,,
Aidcoin,AIDOC,Charity/Charity and Sustainability,Sustainability Index,12.50,,,1
Decred,DCR,Financial Transaction Cryptocurrency/Sustainability,Sustainability Index,12.50,,,1
EcoBit,ECOB,Carbon Credit Trading/Sustainability/Sustainability,Sustainability Index,12.50,,,1
energi-token,ETK,Energy,Sustainability Index,12.50,,,1
Power-Ledger,POWR,Energy Trading,Sustainability Index,12.50,,,1
restart-energy,MWAT,Energy Trading,Sustainability Index,12.50,,,1
faircoin,FAIR,Sustainability,Sustainability Index,12.50,,,1
Wepower,WPR,Energy Trading,Sustainability Index,12.50,,,1
bloom,BLT,Credit/Finance,Anti Poverty Index,10.00,,,1
Credits,CS,Application Platform/Finance,Anti Poverty Index,10.00,,,1
Electroneum,ETN,Financial Transaction Cryptocurrency/Finance,Anti Poverty Index,10.00,,,1
Everex,EVX,Money Transfers and Microfinance/Finance,Anti Poverty Index,10.00,,,1
kora-network,KNT,Exchange Based Coin/Finance,Anti Poverty Index,10.00,,,1
moeda-loyalty-points,MDA,Finance,Anti Poverty Index,10.00,,,1
Omisego,OMG,Finance,Anti Poverty Index,10.00,,,1
ripio-credit-network,RCN,Finance,Anti Poverty Index,10.00,,,1
Stellar,XLM,Finance,Anti Poverty Index,10.00,,,1
swarm-city,SWT,Finance,Anti Poverty Index,10.00,,,1
Modum,MOD,Supply Chain,Supply Chain Index,33.33,,,1
Te-Food,TFD,Supply Chain,Supply Chain Index,33.33,,,1
vechain,VET,Supply Chain,Supply Chain Index,33.33,,,1
Decent,DCT,Art and Media,Art and Media Index,33.33,,,1
Gifto,GTO,Content Publishing/Art and Media,Art and Media Index,33.33,,,1
poet,POE,Art and Media,Art and Media Index,33.33,,,1
Dock,DOCK,Technology,Technology Index,16.67,,,1
experty,EXY,Expert Network/Knowledge Sharing/Technology,Technology Index,16.67,,,1
holotoken,HOT,Application Platform Cryptocurrency/Internet,Technology Index,16.67,,,1
maidsafecoin,MAID,Application Platform Cryptocurrency/Internet,Technology Index,16.67,,,1
Mysterium,MYST,Internet,Technology Index,16.67,,,1
Substratum,SUB,Internet,Technology Index,16.67,,,1
